DisplayName,PackageIdentifier,AssignmentType,AssignmentTarget
AV1 Video Extension,9MVZQVXJBQ9V,Available,AllUsers
Company Portal,9WZDNCRFJ3PZ,Required,AllUsers
Feedback Hub,9NBLGGH4R32N,,
HEIF Image Extensions,9PMMSR1CGPWG,Required,AllDevices
Intune Network Drive Mapping,9NWVZR414XS6,,
Mail and Calendar,9WZDNCRFHVQM,,
Microsoft 365 (Office),9WZDNCRD29V9,Available,AllUsers
Microsoft Accessory Center,9N013P0KR5VX,Available,AllUsers
Microsoft Journal,9N318R854RHH,Available,AllUsers
Microsoft Photos,9WZDNCRFJBH4,Available,AllUsers
Microsoft Sticky Notes,9NBLGGH4QGHW,Available,AllUsers
"Microsoft To Do: Lists, Tasks & Reminders",9NBLGGH5R558,Available,AllUsers
Microsoft Whiteboard,9MSPC6MP8FM4,Available,AllUsers
Movies & TV,9WZDNCRFJ3P2,Available,AllUsers
MPEG-2 Video Extension,9N95Q1ZZPMH4,Required,AllDevices
MSN Weather,9WZDNCRFJ3Q2,Available,AllUsers
OneDrive,9WZDNCRFJ1P3,Available,AllUsers
Phone Link,9NMPJ99VJBWV,Available,AllUsers
Power Automate,9NFTCH6J7FHV,Available,AllUsers
Power BI,9NBLGGGZLXN1,Available,AllUsers
Quick Assist,9P7BP5VNWKX5,Required,AllDevices
Raw Image Extension,9NCTDW2W1BH8,Required,AllDevices
Spotify - Music and Podcasts,9NCBCSZSJRSB,Available,AllUsers
Sway,9WZDNCRD2G0J,Available,AllUsers
VLC UWP,9NBLGGH4VVNH,Available,AllUsers
VP9 Video Extensions,9N4D0MSMP0PT,Required,AllDevices
Windows Clock,9WZDNCRFJ3PR,Available,AllUsers
Windows Media Player,9WZDNCRFJ3PT,Available,AllUsers
Windows Notepad,9MSMLRH6LZF3,Available,AllUsers
Windows Sound Recorder,9WZDNCRFHWKN,Available,AllUsers
Windows Terminal,9N0DX20HK701,Available,AllUsers
Xbox Game Bar,9NZKPSTSNW4P,,
