DisplayName,MembershipRule,Description
grpDevices-Corporate,(device.deviceOwnership -startsWith "Corporate"),"Corporate-owned devices."
grpDevices-Personal,(device.deviceOwnership -startsWith "Personal"),"Personal-owned devices."
grpDevices-Pilot,(device.deviceCategory -eq "Pilot"),"Devices enrolled in Pilot software update rings."
grpDevices-Preview,(device.deviceCategory -eq "Preview"),"Devices enrolled in Preview software update rings."
grpDevices-Production,(device.deviceCategory -eq "Production"),"Devices enrolled in Production software update rings."
grpDevices-Disabled,(device.accountEnabled -eq False),"Disabled devices."
grpDevices-Surface,(device.deviceModel -startsWith "Surface"),"Microsoft Surface Pro, Surface 3, Surface Go, Surface Laptop, Surface Studio devices."
grpDevices-Lenovo,(device.deviceManufacturer -eq "LENOVO"),"Lenovo desktops and laptops."
grpDevices-HP,(device.deviceManufacturer -eq "HP"),"HP desktops and laptops."
grpDevices-Dell,(device.deviceManufacturer -startsWith "Dell"),"Dell desktops and laptops."
grpDevices-Asus,(device.deviceManufacturer -startsWith "ASUS"),"Asus desktops and laptops."
grpDevices-VirtualMachine,(device.deviceManufacturer -startsWith "Parallels") -or (device.deviceManufacturer -startsWith "VMware") -or (device.deviceModel -eq "Virtual Machine") -or (device.deviceModel -eq "VirtualBox"),"Virtual machines."
grpDevices-Android,(device.deviceOSType -startsWith "Android"),"Android phones and tablets."
grpDevices-iOS,(device.deviceOSType -startsWith "iPhone") -or (device.deviceOSType -startsWith "iPad"),"Apple iPhones and iPads."
grpDevices-macOS,(device.deviceOSType -startsWith "Mac"),"Apple Macs and MacBooks."
grpDevices-Windows,(device.deviceOSType -startsWith "Windows"),"All Windows devices."
