DisplayName,MembershipRule,Description
"DeviceCollection-Corporate","(device.deviceOwnership -eq ""Company"")",Corporate-owned devices
"DeviceCollection-Personal","(device.deviceOwnership -eq ""Personal"")",Personally-owned devices
"DeviceCollection-Disabled",(device.accountEnabled -eq False),Disabled devices
"DeviceCollection-VirtualMachine","(device.deviceManufacturer -startsWith ""Parallels"") or (device.deviceManufacturer -startsWith ""VMware"") or (device.deviceModel -eq ""Virtual Machine"") or (device.deviceModel -eq ""VirtualBox"")",Virtual machines
"DeviceCollection-Android","(device.deviceOSType -startsWith ""Android"")",Android phones and tablets
"DeviceCollection-iOS","(device.deviceOSType -startsWith ""iPhone"") or (device.deviceOSType -startsWith ""iPad"")",Apple iPhones and iPads
"DeviceCollection-macOS","(device.deviceOSType -startsWith ""Mac"")",Apple Macs and MacBooks
"DeviceCollection-Windows","(device.deviceOSType -startsWith ""Windows"")",All Windows devices
"DeviceCollection-WindowsCorporate","(device.accountEnabled -eq true) and (device.deviceOSType -startsWith ""Windows"") and (device.deviceOSVersion -startsWith ""10.0"") and (device.deviceOwnership -eq ""Company"")","All corporate-owned Windows PCs of any management type"
"DeviceCollection-CorporateWindowsMDMManaged","(device.accountEnabled -eq true) and (device.deviceOSType -eq ""Windows"") and (device.deviceOSVersion -startsWith ""10.0"") and (device.deviceOwnership -eq ""Company"") and (device.managementType -eq ""MDM"")","Corporate Windows devices managed by Intune"
"DeviceCollection-WindowsAutoilotEnabled","(device.devicePhysicalIDs -any _ -contains ""[ZTDId]"")",All Windows Autopilot enabled devices
"DeviceCollection-DESKTOP","(device.displayName -startsWith ""DESKTOP"") or (device.displayName -startsWith ""LAPTOP"")",Devices with autogenerated DESKTOP or LAPTOP name. Used to target an Intune policy that renames the device to its serial number
"DeviceCollection-Windows1909","(device.accountEnabled -eq true) and (device.deviceOwnership -startsWith ""Company"") and (device.deviceOSType -startsWith ""Windows"") and ((device.deviceOSVersion -startsWith ""10.0.18363"") or (device.deviceOSVersion -startsWith ""10.0.18362"") or (device.deviceOSVersion -startsWith ""10.0.17763"") or (device.deviceOSVersion -startsWith ""10.0.17134"") or (device.deviceOSVersion -startsWith ""10.0.16299"") or (device.deviceOSVersion -startsWith ""10.0.15063"") or (device.deviceOSVersion -startsWith ""10.0.14393""))","Windows 10 devices that Windows 10 1909 or below"
"DeviceCollection-Windows2004","(device.accountEnabled -eq true) and (device.deviceOwnership -startsWith ""Company"") and (device.deviceOSType -startsWith ""Windows"") and (device.deviceOSVersion -startsWith ""10.0.19041"")","Windows 10 2004 devices"
"DeviceCollection-Windows20H2","(device.accountEnabled -eq true) and (device.deviceOwnership -startsWith ""Company"") and (device.deviceOSType -startsWith ""Windows"") and (device.deviceOSVersion -startsWith ""10.0.19042"")","Windows 10 20H2 devices"
